sagoNo,sido,sigungu,dong,addr,sagoLat,sagoLon,sagoDate,sinkWidth,sinkExtend,sinkDepth,grdKind,sagoDetail,deathCnt,injuryCnt,vehicleCnt,trStatus,trMethod,trAmt,trFnDate,daStDate,no
20230037,서울특별시,중랑구,중화동,서울특별시 중랑구 중화동 328-45,37.5993383826311,127.073365801257,20230611,2.00,1.00,1.50,충척층,건축공사중 주변 하수관로(D600mm) 이음부 이격 및 누수로 인한 토사유실 발생,0,1,0,복구완료,굴착 및 하수관로 보수,1000000,20230611,00010101,1
20230041,서울특별시,구로구,온수동,서울특별시 구로구 온수동 65-3,37.4929844989982,126.818020280213,20230626,0.20,0.65,0.80,기타,하수박스 파손으로 인한 지반침하로 다리가 빠져 부상자(다리 타박상) 1명 발생함,0,1,0,복구완료,"2023. 6.26. : 임시 안전조치 완료 및 부상자에 대해 영조물배상책임보험 안내 완료
2023. 6.27. : 하수박스 보수 예정 ",3000000,20230627,00010101,1
20230064,서울특별시,도봉구,쌍문동,서울특별시 도봉구 쌍문동 315-8,37.6500660118354,127.028134631423,20230612,1.00,1.00,4.00,기타,노후 하수관로 파손으로 인한 지반침하로 추정,0,0,0,복구완료,복구 완료 및 2023.8월 경 굴착 후 하수관로 조사 ,0,20230612,00010101,1
20230069,서울특별시,노원구,공릉동,서울특별시 노원구 공릉동 172-18,37.634191381966,127.082522377853,20230712,1.80,1.20,1.50,기타,1련 하수박스 외벽 파손에 따른 토사유출로 인한 보도 침하,0,0,0,복구완료,-,0,20230712,00010101,1
20230102,서울특별시,송파구,송파동,서울특별시 송파구 송파동 58-1,37.511549422886,127.108189133471,20230719,1.00,1.00,1.00,기타,"송파구 송파동 58-1번지 개인하수관 연결부 파손(접속부 불량, 이음부 이격 등)으로 토사 유실에 의한 자전거도로 함몰",0,0,0,복구완료,도로함몰구간 굴착 후 골재부설 및 콘크리트로 임시복구 완료 ,0,20230720,00010101,1
20230111,서울특별시,송파구,석촌동,서울특별시 송파구 석촌동 15-3 앞 석촌지하차도 옆 도로,37.5030524844235,127.100026965966,20230726,1.50,7.00,5.00,,지하차도 하부 공동으로 상부지반(부채도로)의 토사 유출이 지속되어 약 5m 깊이의 지반침하 발생,0,0,0,복구완료,침하 부분 되메우기 및 포장복구 완료,0,20230727,00010101,1
20230118,서울특별시,성북구,성북동,서울특별시 성북구 성북동 309-5,37.5975496201572,126.99462350266,20230806,1.00,3.00,0.50,기타,"하수관로(D600mm)에 타관통과(상수도 D250mm) 유수장애로 인한 수압상승(집중호우)
2개소",0,0,0,복구완료,"상수관로 2개 제거, 하수관로 부설, 차도포장 완료 및 차량통해 재개",0,20230806,00010101,1
20230119,서울특별시,강남구,청담동,서울특별시 강남구 청담동 77-4,37.5231994821198,127.055353915283,20230811,0.50,2.00,0.50,,"폐쇄 상수관로(1982년 매설, 강관, D700mm) 접합부 손상",0,0,0,복구완료,상수도관 접합부 완전 복구 후 되메우기,0,20230811,00010101,1
20230129,서울특별시,서초구,잠원동,서울특별시 서초구 잠원동 58-24,37.5096205182617,127.013278085984,20230911,1.50,2.00,1.50,기타,상수도 누수(4개소),0,0,0,복구완료,강남수도사업소 시설관리과 복구완료,5000000,20230911,00010101,1
20230133,서울특별시,강남구,역삼동,서울특별시 강남구 역삼동 800,37.5064573770425,127.031325016674,20230912,1.00,1.00,0.50,,부등침하로 인한 상수관로 파손,0,0,1,복구완료,강남수도사업소 굴착 및 제수밸브 조절,0,20230912,00010101,1
20230136,서울특별시,송파구,삼전동,서울특별시 송파구 삼전동 100-7,37.5037782534443,127.092266544552,20231011,0.20,0.70,1.80,기타,상수도 누수로 인한 토사 유실 및 지반침하로 인한 공공하수관 이격 발생,0,0,0,복구완료,동공부분 굴착후 하수관 부분개량 후 복구 ,0,20231012,00010101,1
20230140,서울특별시,영등포구,여의도동,서울특별시 영등포구 여의도동 22,37.5260425418848,126.928299685623,20231025,0.50,0.30,2.50,기타,"하수관 맨홀 이상
",0,1,0,복구완료,굴착복구,0,20231026,00010101,1
20230142,서울특별시,강서구,외발산동,서울특별시 강서구 외발산동 289-29,37.5518644181333,126.816513656002,20231103,0.50,0.50,1.50,,포장 하부 불명 조적구조물 파손으로 인한 토사 유실,0,0,0,복구완료,골재채움 및 되메우기 완료,0,20231103,00010101,1
20230147,서울특별시,강남구,삼성동,서울특별시 강남구 삼성동 111-43,37.5190161860769,127.052661324217,20231208,1.00,1.40,0.70,,상수관(D300mm) 손상 누수,0,0,1,복구완료,복구 완료,0,20231209,00010101,1
20240001,서울특별시,성북구,길음동,서울특별시 성북구 길음동 875-1 (길음역 7번출구),37.607245750797,127.021633697332,20240103,0.40,0.60,1.20,,다짐불량,0,0,0,복구완료,되메우기 후 복구 완료,0,20240104,00010101,1
20240007,서울특별시,강남구,삼성동,서울특별시 강남구 삼성동 159-8 그랜드인터컨티넨탈 호텔 앞 보도,37.509047757274,127.060892874689,20240116,1.50,3.00,1.50,,하수박스 이설에 따른 빗물받이 연결관 미폐공으로 추정,0,0,0,복구완료,복구완료,0,20240116,00010101,1
20240011,서울특별시,성북구,길음동,서울특별시 성북구 길음동 532-17,37.6037486042461,127.024181749796,20240223,0.40,0.60,1.00,기타,지하연결통로공사 해빙기 토사유실로 추정,0,1,0,임시복구,지반침하 발생위치 확인 및 내부상태 파악 후 긴급복구,0,20240223,00010101,1
20240018,서울특별시,강남구,논현동,서울특별시 강남구 논현동 논현동 61-7 앞 도로,37.5202570167453,127.031842201068,20240501,0.30,0.80,1.50,,빗물받이 연결관이 노후·파손에 따른 토사 유실로 동공 및 침하 발생,0,0,1,복구완료,파손된 연결관 교체 후 되메우기 및 다짐하여 응급 복구 완료,0,20240502,00010101,1
20240030,서울특별시,마포구,서교동,서울특별시 마포구 서교동 353-1,37.5553057647681,126.920979913802,20240713,0.50,0.50,1.50,,"하수맨홀과 하수관(D1,000mm) 이음부 파손에 따른 토사유실",0,0,0,복구완료,하수관 복구 완료,0,20240714,00010101,1
