saupNo,saupNm,proStage,maxDigDepth,no
20211680,반곡동 1858-4 지식산업센터 신축공사,제출완료,13.36,3353
20211681,인천검단 AA23BL 공동주택 신축공사,제출완료,16.48,3354
20211682,익산시 중앙동 주상복합 신축공사,제출완료,25.36,3355
20211683,양평동2가 지식산업센터 신축공사,제출완료,19.80,3356
20211684,포항시 학산공원 공동주택 신축공사,제출완료,36.00,3357
20211685,용인시 양지지구 2블럭 지역주택조합아파트 신축공사,제출완료,31.00,3358
20211686,고양 덕은 주상1BL 주상복합 신축공사,제출완료,17.49,3359
20211687,6호선 디지털미디어시티외 1역 승강편의시설 설치공사(디지털미디어시티역),제출완료,13.48,3360
20211688,동탄~고덕 연계 열수송관공사 2차 지하안전영향평가(진위면),제출완료,8.75,3361
20211689,안양시 동안구 호계동 995-18 신축공사,제출완료,11.70,3362
20211690,대구광역시 동구 신천동 480-24 주상복합 신축공사,사업 등록 완료,19.80,3363
20211692,창동 창업 및 문화산업단지 복합시설 건설사업 ,제출완료,28.90,3364
20211693,시흥시 정왕동 2689 오피스텔 신축공사,제출완료,14.72,3365
20211694,가락현대5차 소규모 재건축 정비사업,제출완료,15.55,3366
20211695,경기도 평택시 장당지구 2BL 복합시설 신축공사,제출완료,30.00,3367
20211696,대구광역시 중구 동문동 공공지원 민간임대주택 1단지 신축공사,제출완료,24.78,3368
20211697,대구광역시 중구 동문동 공공지원 민간임대주택 2단지 신축공사,제출완료,15.11,3369
20211698,"식사2지구(상업2-1,2-2) 오피스텔 신축공사",제출완료,33.40,3370
20211699,대구광역시 동구 신천동 주상복합 신축공사,사업 등록 완료,23.90,3371
20211700,용인시 양지지구 1블럭 아파트 신축공사,제출완료,21.20,3372
20211701,서울시 중구 초동 107-12외 2필지 업무시설 개발사업,제출완료,27.43,3373
20211702,양천구 목동 557번지 외 5필지 가로주택정비사업 소규모지하안전영향평가,제출완료,12.96,3374
20211703,화성시 병점복합타운 상업 8BL 생활형 숙박시설 신축공사 ,제출완료,19.96,3375
