evalNo,evalNm,constCost,maxDigDepth,digCapacity,startYmd,endYmd,evalCost,proStage,digArea,no
E00096000004,서울 중구 충무로4가 세운 6-2-24 도시정비형 재개발사업,192900.00,29.86,0.00,20180725,20180927,110000.00,진행중,30,1
E00038000012,서울 중구 황학동 1257 오피스텔,0.00,34.40,0.00,20180602,20180718,66000.00,승인완료,34,1
E00096000002,서울 중랑구 묵동 176-23 역세권 청년주택,0.00,25.50,0.00,20180404,20180627,99000.00,승인완료,0,1
E00004000007,서울 중랑구 상봉동 91-4외 케이티앤지 복합개발,70000.00,30.40,0.00,20180212,20180612,95000.00,진행중,0,1
E00030000004,서울 중랑구 신내동 37 신내3지구 지식산업센터 신축공사,200000.00,18.25,0.00,20180403,20181116,88000.00,진행중,18,1
E00038000009,서울 현대차 특별계획구역 복합시설(GBC) 신축,0.00,39.80,0.00,20171212,20180115,88000.00,승인완료,40,1
E00038000034,평택시 고덕지구 11-1-1BL 복합시설 신축공사,97000.00,24.10,0.00,20180803,20181004,82500.00,승인완료,24,1
E00038000039,"평택시 고덕지구 11-1-2, 3블럭 복합시설 신축공사",76000.00,31.50,0.00,20180803,20181227,75900.00,승인완료,32,1
E00133000006,"하남미사지구 중산15-2BL 근생 및 판매, 업무시설 신축공사",40000.00,22.47,0.00,20180917,20181102,93500.00,승인완료,22,1
E00023000026,하남미사지구 중상3-1BL 근린생활시설 신축공사,0.00,22.65,0.00,20180806,20190116,0.00,승인완료,23,1
E00066000013,남양주시 다산지금지구 자족6BL 지식산업센터 신축,0.00,21.26,0.00,20180610,20181114,162800.00,승인완료,21,1
E00038000036,남양주시 화도읍 월산리 산65번지 외6필지 월산5지구 부영아파트 신축공사(남양주 월산5지구 부영아파트 신축공사),101300.00,24.66,0.00,20180601,20181101,90000.00,승인완료,25,1
E00038000041,남양주시 화도읍 월산리 산65번지 일원 공동주택(부영아파트) 신축공사,101300.00,24.66,0.00,20180601,20181101,90000.00,승인완료,25,1
E00190000013,다산신도시 진건지구 자족용지 3BL 지식산업센터 신축공사,0.00,25.56,0.00,20180810,20180918,99000.00,승인완료,26,1
E00154000006,서울？삼성동 45-12？근생？및？업무시설,0.00,20.36,0.00,20180331,20180510,99000.00,승인완료,20,1
E00154000005,서울 역삼동 765-17 근생 및 업무시설,10500.00,26.86,0.00,20180409,20180531,0.00,진행중,0,1
E00044000007,서울 한남동 726-166 근생,0.00,24.72,0.00,20180528,20190329,77000.00,진행중,0,1
E00002000013,서울시 강남구 삼성동 144-1번지 오피스텔 신축공사,0.00,24.00,0.00,20181008,20190311,86900.00,승인완료,24,1
E00102000023,중구 중림동 오피스텔 신축공사,43000.00,37.81,0.00,20181105,20190710,137500.00,진행중,0,1
E00228000005,성남시 판교 제2테크노밸리 E5-1BL 신축,0.00,22.96,0.00,20181222,20190425,68200.00,승인완료,23,1
E00228000007,성남시 판교 제2테크노밸리 E5-1BL 신축,0.00,22.96,0.00,20181222,20190425,68200.00,승인완료,23,1
